Filename,kernel,degree,gamma,coef0,tolerance,nu,shrinking,cachesize,epsilon,Parameter_Iteration,R
MegaWatt1,linear,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0779220779220779
MegaWatt1,polynomial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.3368421052631578
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0991735537190082
MegaWatt1,sigmoid,3,scale,0.0,0.001,0.5,True,200,0.1,0,0.0982142857142857
MegaWatt1,radial,3,auto,0.0,0.001,0.5,True,200,0.1,0,0.0784313725490196
MegaWatt1,radial,3,scale,0.1,0.001,0.5,True,200,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.2,0.001,0.5,True,200,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.3,0.001,0.5,True,200,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.4,0.001,0.5,True,200,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.1,True,200,0.1,0,0.078125
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.3,True,200,0.1,0,0.0826446280991735
MegaWatt1,radial,3,scale,0.0,0.001,0.4,True,200,0.1,0,0.1176470588235294
MegaWatt1,radial,3,scale,0.0,0.001,0.6,True,200,0.1,0,0.1071428571428571
MegaWatt1,radial,3,scale,0.0,0.001,0.7,True,200,0.1,0,0.1076233183856502
MegaWatt1,radial,3,scale,0.0,0.001,0.8,True,200,0.1,0,0.0357142857142857
MegaWatt1,radial,3,scale,0.0,0.001,0.9,True,200,0.1,0,0.1142857142857143
MegaWatt1,radial,3,scale,0.0,0.001,0.5,False,200,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,50,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,100,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,400,0.1,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,200,0.2,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,200,0.01,0,0.0991735537190082
MegaWatt1,radial,3,scale,0.0,0.001,0.5,True,200,0.05,0,0.0991735537190082
MegaWatt1,linear,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.1304347826086956
MegaWatt1,polynomial,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.2320441988950276
MegaWatt1,sigmoid,3,scale,0.0,0.001,0.2,True,200,0.1,0,0.0
MegaWatt1,radial,3,auto,0.0,0.001,0.2,True,200,0.1,0,0.1558441558441558
MegaWatt1,radial,3,scale,0.1,0.001,0.2,True,200,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.2,0.001,0.2,True,200,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.3,0.001,0.2,True,200,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.4,0.001,0.2,True,200,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,False,200,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,50,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,100,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,400,0.1,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,200,0.2,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,200,0.01,0,0.1081081081081081
MegaWatt1,radial,3,scale,0.0,0.001,0.2,True,200,0.05,0,0.1081081081081081
MegaWatt1,linear,3,scale,0.0,0.001,IF,True,200,0.1,0,0.1505376344086021
MegaWatt1,polynomial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.2237762237762237
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0333333333333333
MegaWatt1,sigmoid,3,scale,0.0,0.001,IF,True,200,0.1,0,0.0677966101694915
MegaWatt1,radial,3,auto,0.0,0.001,IF,True,200,0.1,0,0.1732283464566929
MegaWatt1,radial,3,scale,0.1,0.001,IF,True,200,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.2,0.001,IF,True,200,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.3,0.001,IF,True,200,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.4,0.001,IF,True,200,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,False,200,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,50,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,100,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,400,0.1,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,200,0.2,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,200,0.01,0,0.0333333333333333
MegaWatt1,radial,3,scale,0.0,0.001,IF,True,200,0.05,0,0.0333333333333333
