R,Sk,ARI
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_400_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_400_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_6_scale_0.4_1e-05_0.9_False_400_50,-0.011097928328638056
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.4_1e-05_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.4_1e-05_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.4_1e-05_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_auto_0.4_1e-05_0.9_False_400_50,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_1e-05_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.2_1e-05_0.9_False_400_50,0.1486705060527691
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.0001_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.001_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_False_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_1_False_400_50,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.8_False_400_50,0.03850258801611697
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_200_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_200,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_250,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_300,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_3_scale_0.3_0.1_0.9_True_50_-1,-0.016865784436970233
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.3_0.1_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.3_0.1_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.3_0.1_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_auto_0.3_0.1_0.9_True_50_-1,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.1_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.01_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.001_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_1_True_50_-1,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.8_True_50_-1,0.06274917209327478
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_50_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_300,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_250,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_200,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_6_scale_0.4_1e-05_0.9_False_100_50,-0.011097928328638056
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.4_1e-05_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.4_1e-05_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.4_1e-05_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_auto_0.4_1e-05_0.9_False_100_50,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_1e-05_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.2_1e-05_0.9_False_100_50,0.1486705060527691
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.0001_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.001_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_False_100_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_1_False_100_50,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.8_False_100_50,0.03850258801611697
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_200,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_250,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_300,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.1_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_3_scale_0.3_0.1_0.9_True_400_-1,-0.016865784436970233
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.3_0.1_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.3_0.1_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.3_0.1_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_auto_0.3_0.1_0.9_True_400_-1,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.1_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.01_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.001_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_1_True_400_-1,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.8_True_400_-1,0.06274917209327478
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_300,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_250,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_200,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_1e-05_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_6_scale_0.4_1e-05_0.9_True_400_50,-0.011097928328638056
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.4_1e-05_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.4_1e-05_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.4_1e-05_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_auto_0.4_1e-05_0.9_True_400_50,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_1e-05_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.2_1e-05_0.9_True_400_50,0.1486705060527691
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.0001_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.001_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_1_True_400_50,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.8_True_400_50,0.03850258801611697
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_200,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_250,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_300,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.3_0.01_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_3_scale_0.3_0.01_0.9_False_200_-1,-0.016865784436970233
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.3_0.01_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.3_0.01_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.3_0.01_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_auto_0.3_0.01_0.9_False_200_-1,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.01_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.001_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_False_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_1_False_200_-1,0.0
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.8_False_200_-1,0.06274917209327478
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_200_-1,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_300,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_250,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_200,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_150,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_100,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_6_scale_0.4_0.0001_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_rbf_6_scale_0.4_0.0001_0.9_True_400_50,-0.011097928328638056
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_5_scale_0.4_0.0001_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_4_scale_0.4_0.0001_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_scale_0.4_0.0001_0.9_True_400_50,0.15775555578448078
KnuggetChase3_radial_3_scale_0_0.001_0.5_TRUE_200_0.1,KnuggetChase3_sigmoid_3_auto_0.4_0.0001_0.9_True_400_50,0.0
