Filename,Method,OutlierFraction,NumTrials,BiasCorrection,NumOGKIterations,UnivariateEstimator,ReweightingMethod,NumConcentrationSteps,StartMethod,Parameter_Iteration,F1_Median,F1_Range,ARI_Median
analcatdata_apnea2,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea2,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,ogk,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,olivehawkins,0.5,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.05,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.1,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.2,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.25,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.3,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.4,500,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,2,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,5,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,10,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,25,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,50,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,100,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,250,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,750,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,1000,1,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
analcatdata_apnea3,fmcd,0.5,500,0,2,tauscale,rfch,10,classical,0,0.0,0.0,1.0
